Date,Open,High,Low,Close,Adj Close,Volume
2022-10-26,96.430000,98.309998,94.690002,94.930000,94.930000,88114100
2022-10-27,94.519997,95.430000,91.800003,92.220001,92.220001,60710900
2022-10-28,92.269997,96.550003,92.129997,96.290001,96.290001,43697300
2022-10-31,95.419998,96.029999,93.980003,94.510002,94.510002,31675000
2022-11-01,95.449997,96.029999,90.370003,90.470001,90.470001,47161400
2022-11-02,90.940002,91.180000,86.879997,86.970001,86.970001,57038300
2022-11-03,86.320000,86.519997,83.339996,83.430000,83.430000,61288000
2022-11-04,85.400002,86.639999,83.709999,86.580002,86.580002,51124900
2022-11-07,87.279999,88.900002,86.849998,88.489998,88.489998,34078900
2022-11-08,88.900002,90.320000,87.589996,88.900002,88.900002,30429000
2022-11-09,88.449997,89.440002,87.279999,87.320000,87.320000,31769100
2022-11-10,92.250000,94.389999,91.610001,93.940002,93.940002,51620100
2022-11-11,94.690002,96.930000,93.919998,96.410004,96.410004,33090500
2022-11-14,95.089996,96.790001,94.510002,95.699997,95.699997,30179500
2022-11-15,98.260002,100.139999,96.709999,98.440002,98.440002,41640800
2022-11-16,97.900002,99.639999,97.639999,98.849998,98.849998,29105200
2022-11-17,96.970001,99.279999,96.790001,98.360001,98.360001,26052600
2022-11-18,98.769997,98.900002,96.370003,97.430000,97.430000,28342300
2022-11-21,97.290001,98.400002,95.360001,95.599998,95.599998,21647400
2022-11-22,95.949997,97.220001,94.050003,97.050003,97.050003,23438500
2022-11-23,97.089996,98.760002,97.089996,98.459999,98.459999,18868100
2022-11-25,98.239998,98.639999,97.400002,97.459999,97.459999,9701400
2022-11-28,97.040001,97.580002,95.610001,96.050003,96.050003,26237500
2022-11-29,95.730003,96.120003,94.110001,95.190002,95.190002,20061700
2022-11-30,94.820000,101.040001,94.419998,100.989998,100.989998,43647500
2022-12-01,101.019997,102.250000,100.250000,100.989998,100.989998,28687100
2022-12-02,99.050003,100.769997,98.900002,100.440002,100.440002,21480700
2022-12-05,99.400002,101.379997,99.000000,99.480003,99.480003,24405100
2022-12-06,99.300003,99.779999,96.419998,96.980003,96.980003,24910700
2022-12-07,96.410004,96.879997,94.720001,94.940002,94.940002,31045400
2022-12-08,95.379997,95.580002,93.449997,93.709999,93.709999,32213300
2022-12-09,93.769997,94.260002,92.750000,92.830002,92.830002,28225400
2022-12-12,92.709999,93.559998,91.610001,93.309998,93.309998,29420000
2022-12-13,97.760002,99.529999,95.029999,95.629997,95.629997,40593700
2022-12-14,95.199997,96.870003,93.599998,95.070000,95.070000,28733600
2022-12-15,93.129997,93.639999,90.010002,90.860001,90.860001,40107000
2022-12-16,90.760002,91.330002,89.519997,90.260002,90.260002,58011800
2022-12-19,90.260002,90.559998,88.209999,88.440002,88.440002,29493000
2022-12-20,88.110001,89.180000,87.440002,89.019997,89.019997,23453800
2022-12-21,89.080002,90.220001,88.320000,89.580002,89.580002,24745600
2022-12-22,88.160004,88.540001,86.320000,87.760002,87.760002,27658300
2022-12-23,87.110001,89.550003,87.070000,89.230003,89.230003,23003000
2022-12-27,88.800003,88.940002,87.010002,87.389999,87.389999,20097300
2022-12-28,86.980003,88.040001,85.940002,86.019997,86.019997,19523200
2022-12-29,86.620003,88.849998,86.610001,88.449997,88.449997,23333500
2022-12-30,86.980003,88.300003,86.570000,88.230003,88.230003,23986300
2023-01-03,89.589996,91.050003,88.519997,89.120003,89.120003,28131200
2023-01-04,90.349998,90.650002,87.269997,88.080002,88.080002,34854800
2023-01-05,87.470001,87.570000,85.900002,86.199997,86.199997,27194400
2023-01-06,86.790001,87.690002,84.860001,87.339996,87.339996,41381500
2023-01-09,88.360001,90.050003,87.860001,88.019997,88.019997,29003900
2023-01-10,85.980003,88.669998,85.830002,88.419998,88.419998,30467800
2023-01-11,89.180000,91.599998,89.010002,91.519997,91.519997,26862000
2023-01-12,91.480003,91.870003,89.750000,91.129997,91.129997,30258100
2023-01-13,90.849998,92.190002,90.129997,92.120003,92.120003,26329200
2023-01-17,92.059998,92.250000,90.050003,91.290001,91.290001,32602400
2023-01-18,92.139999,92.800003,90.639999,91.120003,91.120003,29116700
2023-01-19,90.720001,93.610001,90.629997,93.050003,93.050003,37000400
2023-01-20,95.099998,98.300003,95.019997,98.019997,98.019997,63191100
2023-01-23,97.949997,100.040001,97.500000,99.790001,99.790001,40005100
2023-01-24,98.099998,99.610001,97.199997,97.699997,97.699997,33078500
2023-01-25,95.570000,96.160004,93.760002,95.220001,95.220001,42330000
2023-01-26,96.500000,97.570000,95.379997,97.519997,97.519997,30114000
2023-01-27,97.309998,100.320000,97.309998,99.370003,99.370003,33879800
2023-01-30,97.480003,98.290001,96.400002,96.940002,96.940002,27226200
2023-01-31,96.870003,98.879997,96.820000,98.839996,98.839996,29870700
2023-02-01,98.709999,101.190002,97.580002,100.430000,100.430000,35531100
2023-02-02,105.800003,107.849998,105.610001,107.739998,107.739998,69883800
2023-02-03,102.930000,107.809998,102.580002,104.779999,104.779999,65309300
2023-02-06,102.400002,104.360001,101.879997,102.900002,102.900002,31999600
2023-02-07,103.220001,108.180000,103.120003,107.639999,107.639999,49010200
2023-02-08,102.050003,103.139999,98.040001,99.370003,99.370003,94743500
2023-02-09,100.000000,100.029999,93.629997,95.010002,95.010002,119455000
2023-02-10,95.449997,96.750000,94.250000,94.570000,94.570000,54980700
2023-02-13,94.739998,95.199997,93.839996,94.610001,94.610001,50076100
2023-02-14,94.430000,94.849998,92.260002,94.680000,94.680000,54726100
2023-02-15,94.489998,97.120003,94.150002,96.940002,96.940002,50169000
2023-02-16,95.370003,97.680000,94.739998,95.510002,95.510002,42462600
2023-02-17,94.849998,95.559998,93.209999,94.349998,94.349998,34284100
2023-02-21,93.000000,93.099998,91.720001,91.790001,91.790001,33629300
2023-02-22,91.699997,92.110001,90.610001,91.650002,91.650002,30884000
2023-02-23,91.919998,91.940002,89.760002,90.889999,90.889999,41206400
2023-02-24,89.440002,89.889999,88.580002,89.129997,89.129997,36585100
2023-02-27,89.870003,90.160004,89.339996,89.870003,89.870003,27502300
2023-02-28,89.330002,91.230003,89.320000,90.059998,90.059998,30142000
2023-03-01,89.980003,91.029999,89.669998,90.360001,90.360001,31111200
2023-03-02,89.660004,92.279999,89.589996,92.000000,92.000000,32204400
2023-03-03,92.480003,93.730003,92.449997,93.650002,93.650002,35160100
2023-03-06,94.019997,95.970001,94.000000,95.129997,95.129997,32639300
2023-03-07,94.980003,95.669998,93.529999,93.860001,93.860001,27835500
2023-03-08,94.120003,95.959999,94.000000,94.250000,94.250000,34103300
2023-03-09,94.050003,95.529999,91.900002,92.320000,92.320000,28813500
2023-03-10,92.169998,92.790001,90.400002,90.629997,90.629997,35941000
2023-03-13,90.089996,92.570000,89.419998,91.110001,91.110001,37335600
2023-03-14,92.559998,94.360001,92.440002,93.970001,93.970001,36050200
2023-03-15,93.220001,96.930000,92.639999,96.110001,96.110001,50622100
2023-03-16,96.199997,101.190002,95.500000,100.320000,100.320000,65492000
2023-03-17,100.260002,102.839996,100.099998,101.620003,101.620003,61028500
2023-03-20,100.120003,101.750000,99.870003,101.220001,101.220001,32960400
2023-03-21,101.250000,105.099998,101.220001,104.919998,104.919998,42110300
2023-03-22,104.269997,106.589996,103.330002,103.370003,103.370003,43427400
2023-03-23,105.059998,106.300003,104.459999,105.599998,105.599998,40797800
2023-03-24,104.989998,105.489998,103.839996,105.440002,105.440002,30411000
2023-03-27,104.620003,104.760002,101.930000,102.459999,102.459999,31120900
2023-03-28,102.440002,102.449997,99.739998,101.029999,101.029999,32057900
2023-03-29,102.279999,102.489998,100.650002,101.389999,101.389999,28779600
2023-03-30,100.910004,101.160004,99.779999,100.889999,100.889999,33086200
2023-03-31,101.300003,103.889999,101.040001,103.730003,103.730003,36823200
2023-04-03,102.389999,104.529999,101.930000,104.360001,104.360001,25035400
2023-04-04,104.330002,105.580002,104.040001,104.720001,104.720001,24420100
2023-04-05,105.779999,106.099998,103.660004,104.470001,104.470001,28290500
2023-04-06,105.260002,109.169998,104.330002,108.419998,108.419998,48711500
2023-04-10,106.980003,107.589996,105.120003,106.440002,106.440002,27067400
2023-04-11,106.550003,106.730003,104.680000,105.349998,105.349998,26311800
2023-04-12,106.580002,106.750000,104.339996,104.639999,104.639999,24370300
2023-04-13,105.839996,107.489998,105.839996,107.430000,107.430000,24843600
2023-04-14,106.889999,108.940002,106.839996,108.870003,108.870003,26547800
2023-04-17,104.660004,106.160004,104.519997,105.970001,105.970001,37571200
2023-04-18,106.489998,106.540001,104.070000,104.500000,104.500000,26596400
2023-04-19,103.580002,104.980003,103.070000,104.180000,104.180000,20905700
2023-04-20,103.910004,106.250000,103.870003,105.290001,105.290001,27820800
2023-04-21,105.470001,106.000000,104.779999,105.410004,105.410004,25784600
2023-04-24,105.489998,106.629997,104.699997,105.970001,105.970001,23542800
